experiment,hour,date_of_week,date_of_month,month,device_make
0,2,5,4,7,69
0,6,4,10,7,12
1,6,3,9,7,12
1,7,6,5,7,19
1,10,4,3,7,8
1,3,0,6,7,12
1,7,4,3,7,12
1,7,4,3,7,12
1,0,4,10,7,12
0,7,6,5,7,12
0,12,5,4,7,108
1,8,1,7,7,12
0,3,6,5,7,12
1,23,3,9,7,12
1,19,5,4,7,12
0,15,4,3,7,12
1,2,3,9,7,63
1,10,0,6,7,63
1,11,4,3,7,12
1,7,2,8,7,12
0,20,2,8,7,12
0,10,1,7,7,12
1,7,6,5,7,12
0,16,4,10,7,12
0,2,5,4,7,61
0,18,3,9,7,12
0,2,3,9,7,12
1,5,4,10,7,65
0,15,4,3,7,12
1,14,4,10,7,12
1,6,4,10,7,4
1,8,4,3,7,12
1,7,2,8,7,56
1,9,4,3,7,41
0,15,4,3,7,12
1,18,6,5,7,82
0,10,1,7,7,20
1,10,5,4,7,1
0,16,4,10,7,12
0,15,4,3,7,70
1,21,2,8,7,12
1,15,2,8,7,32
1,5,0,6,7,46
1,0,2,8,7,12
0,6,4,10,7,12
0,15,4,3,7,12
0,15,4,3,7,12
1,3,6,5,7,12
1,0,4,10,7,70
1,20,3,9,7,63
0,15,4,3,7,12
1,9,3,9,7,12
1,15,4,10,7,12
1,4,5,4,7,12
0,2,5,4,7,12
0,15,4,3,7,12
1,20,2,8,7,12
1,6,4,10,7,12
1,5,4,3,7,103
1,0,5,4,7,44
1,8,6,5,7,12
1,12,4,10,7,39
1,3,0,6,7,12
0,10,0,6,7,12
1,22,1,7,7,12
0,15,4,3,7,12
1,8,5,4,7,25
1,4,4,10,7,17
1,17,2,8,7,58
0,15,4,3,7,40
0,6,5,4,7,65
1,10,0,6,7,12
1,8,3,9,7,12
1,12,3,9,7,12
1,16,3,9,7,12
0,15,4,3,7,61
0,6,5,4,7,12
1,4,1,7,7,12
1,10,1,7,7,12
0,21,5,4,7,12
1,2,4,3,7,40
1,17,2,8,7,12
0,15,5,4,7,63
1,4,5,4,7,12
1,6,3,9,7,12
1,10,5,4,7,12
0,15,4,3,7,12
0,12,5,4,7,12
1,0,3,9,7,12
1,14,4,3,7,12
1,14,1,7,7,65
0,20,3,9,7,69
0,3,5,4,7,82
1,6,1,7,7,12
0,15,3,9,7,12
0,15,4,3,7,80
0,11,5,4,7,12
0,8,4,10,7,69
1,4,2,8,7,12
1,11,4,10,7,12
0,15,4,3,7,54
0,15,4,3,7,69
0,6,4,10,7,69
0,15,4,10,7,39
1,17,1,7,7,48
1,0,1,7,7,23
0,15,4,3,7,62
0,7,1,7,7,24
0,16,6,5,7,64
1,21,1,7,7,40
0,17,2,8,7,12
1,22,1,7,7,12
0,3,4,10,7,97
0,14,6,5,7,21
1,16,3,9,7,66
1,16,2,8,7,12
1,5,4,3,7,12
1,15,2,8,7,12
1,13,3,9,7,12
1,16,2,8,7,12
0,8,0,6,7,52
1,12,2,8,7,12
